ID_Venda;Data;Cliente;Produto;Categoria;Valor_Unitario;Quantidade;Total_Venda;Desconto_Pct;Status;Cidade;Vendedor
71;inválida;Cliente_2005;Teclado Mecânico;Eletrônicos;5141,59;9;12596,66;27,7;Concluída;Rio de Janeiro;Maria
72;04-08-2024;Cliente_5320;iPhone 15;Acessórios;7100,66;6;7423,95;13,7;Concluída;Belo Horizonte;Maria
73;2024-02-02;Cliente_5299;iPhone 15;Periféricos;1550,55;2;5663,85;24,4;Cancelada;Rio de Janeiro;João
74;14-07-2024;Cliente_9670;Monitor LG;Periféricos;8493,96;15;8785,93;18,4;Cancelada;São Paulo;Ana
75;27-08-2024;Cliente_3045;Teclado Mecânico;Periféricos;531,6;10;8628,22;19,6;Concluída;Curitiba;Carlos
76;08-05-2024;Cliente_9090;Notebook Dell;Acessórios;5059,76;3;315,15;4,5;;Belo Horizonte;Ana
77;06-01-2024;Cliente_8638;Monitor LG;Acessórios;1084,76;dez;302,6;8,5;;São Paulo;Maria
78;inválida;Cliente_5014;Notebook Dell;Periféricos;6275,7;14;12163,46;24,2;;Belo Horizonte;Ana
79;2024-10-01;Cliente_7761;Monitor LG;Acessórios;;15;4638,54;15,7;Concluída;Porto Alegre;João
80;2024-11-24;Cliente_6944;Notebook Dell;Eletrônicos;8005,82;11;4221,84;4,4;Cancelada;Belo Horizonte;João
81;2024-02-27;Cliente_6193;Notebook Dell;Acessórios;5436,95;2;4144,75;24,3;Cancelada;Porto Alegre;Carlos
82;10/08/2024;Cliente_7864;Teclado Mecânico;Acessórios;3060,55;9;11864,98;19,7;Cancelada;Belo Horizonte;João
83;20/08/2024;Cliente_2150;Notebook Dell;Acessórios;460,84;1;9283,21;24,1;Cancelada;Curitiba;João
84;14-05-2024;Cliente_3269;Mouse Logitech;Periféricos;528,84;5;9488,63;8,6;;São Paulo;Maria
85;inválida;Cliente_3071;iPhone 15;Periféricos;4789,05;14;9497,67;22,9;Cancelada;Belo Horizonte;Carlos
86;24-02-2024;Cliente_2176;Mouse Logitech;Eletrônicos;7532,14;4;12504,72;1,7;Pendente;Rio de Janeiro;Ana
87;01-06-2024;Cliente_9688;iPhone 15;Eletrônicos;5541,71;10;2395,04;13,7;;Rio de Janeiro;Ana
88;16-09-2024;Cliente_9961;iPhone 15;Periféricos;993,29;13;10139,08;15,9;;São Paulo;Maria
89;11/04/2024;Cliente_3231;Notebook Dell;Eletrônicos;8924,1;10;3853,38;29,0;Concluída;Rio de Janeiro;Maria
90;10/07/2024;Cliente_3288;Mouse Logitech;Eletrônicos;1235,2;7;9439,06;24,4;Cancelada;Belo Horizonte;Maria
91;03-10-2024;Cliente_1343;iPhone 15;Periféricos;369,97;10;661,59;18,0;Concluída;Rio de Janeiro;Carlos
92;inválida;Cliente_7728;Monitor LG;Periféricos;;3;10723,48;8,7;Concluída;Belo Horizonte;Carlos
93;2024-06-14;Cliente_4495;Notebook Dell;Eletrônicos;5103,44;11;341,38;13,9;;Curitiba;Maria
94;10/01/2024;Cliente_2337;iPhone 15;Eletrônicos;349,1;8;6187,55;11,0;;Porto Alegre;Ana
95;2024-07-04;Cliente_9622;Mouse Logitech;Periféricos;2110,06;13;6144,86;4,5;;São Paulo;Carlos
96;02/05/2024;Cliente_7514;Notebook Dell;Acessórios;2548,23;dez;7903,65;29,0;Concluída;São Paulo;Ana
97;03-05-2024;Cliente_5709;Notebook Dell;Periféricos;8619,68;8;5736,8;1,7;;Porto Alegre;Maria
98;10/02/2024;Cliente_2991;iPhone 15;Eletrônicos;7765,27;7;12471,08;17,4;Pendente;São Paulo;Maria
99;inválida;Cliente_8875;Mouse Logitech;Periféricos;8914,5;10;6667,7;15,6;Concluída;Belo Horizonte;Carlos
100;29/09/2024;Cliente_7298;Monitor LG;Periféricos;3671,31;4;11794,02;25,3;Concluída;São Paulo;Ana
101;06-03-2024;Cliente_2034;Notebook Dell;Eletrônicos;7426,11;5;6646,02;14,3;;Belo Horizonte;Ana
102;31-08-2024;Cliente_4659;Notebook Dell;Eletrônicos;4103,88;4;893,75;1,5;Pendente;Belo Horizonte;João
103;2024-03-25;Cliente_1476;Notebook Dell;Periféricos;7139,87;2;8259,71;23,5;Pendente;Rio de Janeiro;Pedro
104;27-09-2024;Cliente_3548;Monitor LG;Eletrônicos;4565,57;15;8628,0;27,6;Cancelada;Belo Horizonte;Ana
105;04/08/2024;Cliente_4106;Teclado Mecânico;Periféricos;;8;11897,8;11,8;Concluída;Belo Horizonte;Maria
106;inválida;Cliente_7774;Monitor LG;Acessórios;5467,68;6;7993,93;16,4;Cancelada;Belo Horizonte;Pedro
107;19/12/2024;Cliente_5289;Teclado Mecânico;Acessórios;6279,08;3;11827,89;8,3;Pendente;Porto Alegre;João
108;2024-12-31;Cliente_2906;iPhone 15;Acessórios;7554,16;4;2477,92;24,8;;Porto Alegre;Maria
109;23-07-2024;Cliente_8149;Mouse Logitech;Periféricos;7148,53;1;3469,41;18,2;Cancelada;São Paulo;Maria
110;2024-11-28;Cliente_4911;Mouse Logitech;Eletrônicos;3918,29;4;9220,49;7,3;Pendente;Rio de Janeiro;João
111;12-08-2024;Cliente_7939;Notebook Dell;Eletrônicos;3454,91;12;6449,85;21,7;;Porto Alegre;Ana
112;19/08/2024;Cliente_9302;Monitor LG;Eletrônicos;109,5;15;2823,18;14,2;Pendente;São Paulo;Carlos
113;inválida;Cliente_4101;Monitor LG;Acessórios;5247,75;6;3395,0;14,7;Pendente;Porto Alegre;Pedro
114;2024-02-02;Cliente_6191;Monitor LG;Eletrônicos;516,74;11;9631,72;3,9;Concluída;Curitiba;Carlos
115;11-01-2024;Cliente_2083;iPhone 15;Periféricos;2015,64;dez;14049,29;18,4;;Curitiba;Carlos
116;10/10/2024;Cliente_7780;iPhone 15;Eletrônicos;5236,26;7;10279,9;26,9;Pendente;Rio de Janeiro;Carlos
117;28/10/2024;Cliente_8576;Teclado Mecânico;Eletrônicos;2239,06;12;1771,55;13,5;;Porto Alegre;Maria
118;04/01/2024;Cliente_8119;Mouse Logitech;Acessórios;;1;3996,36;5,2;;Rio de Janeiro;Maria
119;28-12-2024;Cliente_5487;iPhone 15;Eletrônicos;7489,01;3;2577,71;10,7;Concluída;Belo Horizonte;Pedro
120;inválida;Cliente_1244;Mouse Logitech;Periféricos;6759,89;15;3161,74;28,0;Cancelada;Porto Alegre;Pedro
121;04/02/2024;Cliente_4994;Notebook Dell;Periféricos;6100,3;13;13427,84;3,5;;Curitiba;Pedro
122;18/06/2024;Cliente_3414;Monitor LG;Eletrônicos;8314,51;5;5565,6;13,6;Concluída;Curitiba;João
123;20/09/2024;Cliente_4691;Mouse Logitech;Eletrônicos;642,56;9;521,06;1,2;Concluída;Porto Alegre;Carlos
124;22-05-2024;Cliente_2109;Teclado Mecânico;Acessórios;2478,38;7;5337,37;10,8;Cancelada;São Paulo;João
125;05/09/2024;Cliente_4737;Monitor LG;Acessórios;3683,42;10;706,06;1,3;;São Paulo;Ana
126;03/10/2024;Cliente_3943;Teclado Mecânico;Periféricos;138,28;7;4454,0;6,0;Cancelada;Rio de Janeiro;Maria
127;inválida;Cliente_6624;Monitor LG;Periféricos;8862,8;7;1083,32;2,2;Pendente;Porto Alegre;Maria
128;30/08/2024;Cliente_3292;Monitor LG;Acessórios;8033,11;15;5849,24;29,9;;Belo Horizonte;Pedro
129;2024-08-30;Cliente_9743;Teclado Mecânico;Periféricos;7934,23;4;10905,68;5,5;;Rio de Janeiro;Carlos
130;07/04/2024;Cliente_3444;Mouse Logitech;Acessórios;8216,13;11;14869,25;7,6;;Rio de Janeiro;Maria
131;19-02-2024;Cliente_7591;Monitor LG;Periféricos;;6;577,02;18,3;Concluída;São Paulo;Carlos
132;2024-08-08;Cliente_8441;Monitor LG;Eletrônicos;2011,68;15;8112,38;19,7;Concluída;Porto Alegre;Maria
133;2024-08-04;Cliente_2666;iPhone 15;Acessórios;5607,1;8;8510,45;7,6;Concluída;Porto Alegre;Ana
134;inválida;Cliente_3864;Teclado Mecânico;Periféricos;6487,88;dez;14154,68;21,0;Concluída;Porto Alegre;Maria
135;28-01-2024;Cliente_7234;iPhone 15;Eletrônicos;1508,94;13;7311,28;16,2;;São Paulo;Ana
136;30-11-2024;Cliente_4938;iPhone 15;Acessórios;1667,35;5;3658,61;9,3;Pendente;Porto Alegre;Maria
137;20/02/2024;Cliente_8554;iPhone 15;Acessórios;7851,36;13;4688,96;18,6;Pendente;Belo Horizonte;Pedro
138;25-07-2024;Cliente_5260;iPhone 15;Acessórios;8543,52;12;8636,0;6,2;Cancelada;Curitiba;Ana
139;22/06/2024;Cliente_6257;Mouse Logitech;Acessórios;7143,08;7;12027,39;0,1;Cancelada;Porto Alegre;Pedro
140;07/05/2024;Cliente_3710;Mouse Logitech;Acessórios;574,18;3;4403,27;5,4;Cancelada;Porto Alegre;Pedro
141;inválida;Cliente_4055;Monitor LG;Acessórios;2841,08;4;6054,12;16,6;Pendente;Porto Alegre;João
142;17/08/2024;Cliente_6128;Teclado Mecânico;Eletrônicos;8982,14;3;8766,42;29,6;;São Paulo;Pedro
143;04/08/2024;Cliente_4031;Monitor LG;Eletrônicos;6803,13;13;10895,28;7,2;;Rio de Janeiro;Ana
144;2024-05-22;Cliente_7790;Notebook Dell;Acessórios;;15;13926,63;27,5;Pendente;Curitiba;Maria
145;07/05/2024;Cliente_5214;Mouse Logitech;Acessórios;7714,03;11;11903,06;25,8;Concluída;São Paulo;Ana
146;14-08-2024;Cliente_5229;Notebook Dell;Acessórios;3014,05;12;4014,18;24,4;Cancelada;Curitiba;Maria
147;20/02/2024;Cliente_5936;iPhone 15;Eletrônicos;6940,34;2;8307,35;27,5;Cancelada;São Paulo;João
148;inválida;Cliente_9523;Monitor LG;Periféricos;1038,93;7;14526,54;27,5;Pendente;Porto Alegre;Maria
149;08/01/2024;Cliente_5561;Mouse Logitech;Acessórios;8319,75;9;8653,37;20,7;Concluída;Curitiba;Carlos
150;01/05/2024;Cliente_5068;iPhone 15;Acessórios;2566,71;13;1574,45;27,0;;Belo Horizonte;Maria
151;2024-07-27;Cliente_8032;Notebook Dell;Acessórios;122,5;3;13114,98;10,2;;Belo Horizonte;Maria
152;03/09/2024;Cliente_9882;Mouse Logitech;Periféricos;1020,06;5;8764,32;1,0;Cancelada;Belo Horizonte;Ana
153;24/07/2024;Cliente_8127;iPhone 15;Acessórios;687,19;dez;6105,09;27,0;Cancelada;Porto Alegre;Pedro
154;2024-03-25;Cliente_9311;Monitor LG;Periféricos;7908,52;13;6196,88;14,9;;Porto Alegre;Maria
155;inválida;Cliente_2850;Notebook Dell;Acessórios;4425,73;2;270,12;0,1;;Porto Alegre;Carlos
156;2024-05-15;Cliente_2902;iPhone 15;Acessórios;7118,07;10;3075,51;7,5;;Porto Alegre;Pedro
157;2024-05-26;Cliente_2218;Notebook Dell;Eletrônicos;;8;2899,37;19,6;;Curitiba;João
158;22-12-2024;Cliente_6064;Notebook Dell;Acessórios;1313,47;6;1692,38;1,3;Concluída;Rio de Janeiro;Maria
159;11-10-2024;Cliente_4646;Teclado Mecânico;Periféricos;744,66;4;2928,95;12,8;Concluída;Porto Alegre;Ana
160;06/09/2024;Cliente_4617;Notebook Dell;Acessórios;4314,57;4;1919,32;15,5;;Rio de Janeiro;Pedro
161;2024-04-07;Cliente_1759;Teclado Mecânico;Eletrônicos;2275,71;15;11412,72;19,0;Concluída;Porto Alegre;Carlos
162;inválida;Cliente_7980;Monitor LG;Acessórios;2954,94;3;3260,64;24,1;Pendente;Rio de Janeiro;João
163;23-10-2024;Cliente_5218;Monitor LG;Eletrônicos;3247,19;9;6737,45;2,4;Concluída;Curitiba;Maria
164;04/10/2024;Cliente_1398;Mouse Logitech;Periféricos;6138,95;13;7440,75;24,6;Pendente;Rio de Janeiro;Pedro
165;09/06/2024;Cliente_9515;Notebook Dell;Eletrônicos;2705,05;14;11969,79;4,5;;Porto Alegre;Pedro
166;26-01-2024;Cliente_1401;iPhone 15;Periféricos;7941,85;5;10898,26;26,1;Cancelada;Curitiba;João
167;01-09-2024;Cliente_6250;Monitor LG;Eletrônicos;6722,51;1;9514,82;23,6;;Porto Alegre;Carlos
168;28/09/2024;Cliente_9186;Mouse Logitech;Acessórios;3892,42;10;7999,91;8,8;;Curitiba;Pedro
169;inválida;Cliente_8846;iPhone 15;Acessórios;6054,5;4;11703,24;13,6;Pendente;Curitiba;Ana
170;11/02/2024;Cliente_2395;Monitor LG;Eletrônicos;;10;2187,61;4,6;Cancelada;Curitiba;Carlos
171;05-02-2024;Cliente_6471;Notebook Dell;Acessórios;4357,42;12;14133,79;2,4;;Rio de Janeiro;Maria
172;04-02-2024;Cliente_6198;Teclado Mecânico;Eletrônicos;3409,13;dez;9608,84;1,1;;Curitiba;João
173;2024-04-30;Cliente_6697;Teclado Mecânico;Acessórios;2449,66;3;14892,76;12,0;;São Paulo;Maria
174;02-03-2024;Cliente_1914;iPhone 15;Periféricos;944,34;13;11010,05;10,0;Pendente;Rio de Janeiro;Maria
175;06-05-2024;Cliente_7367;iPhone 15;Periféricos;5752,11;4;8805,81;10,6;;Porto Alegre;Carlos
176;inválida;Cliente_3734;Monitor LG;Acessórios;1687,38;6;14250,82;1,8;Concluída;São Paulo;Carlos
177;13/11/2024;Cliente_8888;iPhone 15;Acessórios;7154,17;14;13370,79;8,1;Cancelada;Belo Horizonte;Carlos
178;02-08-2024;Cliente_9694;Notebook Dell;Acessórios;2852,69;1;2833,77;16,3;Cancelada;Porto Alegre;João
179;25-10-2024;Cliente_8846;Teclado Mecânico;Eletrônicos;2810,29;4;9558,57;12,5;Concluída;Rio de Janeiro;Carlos
180;2024-09-24;Cliente_1854;Notebook Dell;Periféricos;817,18;4;11924,61;20,8;;Belo Horizonte;João
181;13/05/2024;Cliente_3813;Mouse Logitech;Periféricos;7050,1;4;7892,65;21,6;Pendente;Curitiba;Carlos
182;08-12-2024;Cliente_6838;iPhone 15;Eletrônicos;3067,16;7;2715,35;0,9;Cancelada;Porto Alegre;João
183;inválida;Cliente_2605;Notebook Dell;Periféricos;;6;6477,34;5,0;Pendente;Rio de Janeiro;Ana
184;2024-05-15;Cliente_3489;Mouse Logitech;Acessórios;1109,77;15;12876,89;6,4;Concluída;Porto Alegre;João
185;08-03-2024;Cliente_1259;iPhone 15;Eletrônicos;5573,74;14;6134,83;21,0;Cancelada;Belo Horizonte;Ana
186;2024-11-26;Cliente_5365;Notebook Dell;Eletrônicos;7498,3;7;10091,81;2,5;Pendente;São Paulo;Ana
187;2024-08-22;Cliente_7392;Teclado Mecânico;Acessórios;2962,09;5;4940,67;14,6;;Porto Alegre;Carlos
188;07/02/2024;Cliente_4856;Notebook Dell;Acessórios;7122,05;2;13771,63;3,0;Cancelada;Belo Horizonte;João
189;22-08-2024;Cliente_8667;Teclado Mecânico;Eletrônicos;3104,25;9;3603,65;15,6;Cancelada;Rio de Janeiro;João
190;inválida;Cliente_3757;iPhone 15;Eletrônicos;6615,81;14;12938,98;23,9;Cancelada;Curitiba;Ana
191;07-02-2024;Cliente_2904;Mouse Logitech;Acessórios;8827,11;dez;4802,02;15,9;Pendente;Belo Horizonte;Maria
192;19-04-2024;Cliente_7757;iPhone 15;Eletrônicos;7408,21;2;3033,66;10,9;;Belo Horizonte;João
193;15/05/2024;Cliente_3925;iPhone 15;Periféricos;8742,59;7;7962,87;4,5;Concluída;Belo Horizonte;Ana
194;27/06/2024;Cliente_7501;Notebook Dell;Periféricos;8442,79;3;11613,75;19,2;Pendente;Curitiba;Carlos
195;2024-05-05;Cliente_7476;Mouse Logitech;Periféricos;2246,81;4;3923,48;10,9;Concluída;Rio de Janeiro;Ana
196;25/05/2024;Cliente_1368;Teclado Mecânico;Acessórios;;1;13218,22;26,5;Concluída;Porto Alegre;Carlos
197;inválida;Cliente_4544;Teclado Mecânico;Acessórios;8692,74;15;2838,37;22,7;;Belo Horizonte;Pedro
198;2024-12-26;Cliente_3388;Mouse Logitech;Periféricos;1149,39;10;10121,37;28,8;Concluída;São Paulo;João
199;09-11-2024;Cliente_4117;Notebook Dell;Periféricos;1680,73;3;10681,18;8,2;Pendente;Belo Horizonte;Maria
200;27/09/2024;Cliente_6308;Notebook Dell;Acessórios;4274,31;8;7095,33;11,1;Pendente;Rio de Janeiro;João
201;07-12-2024;Cliente_9334;Notebook Dell;Acessórios;5499,65;1;2044,79;14,2;Concluída;São Paulo;Maria
202;02-06-2024;Cliente_5865;Mouse Logitech;Eletrônicos;2745,72;8;7580,52;7,4;Concluída;Porto Alegre;Carlos
203;23/02/2024;Cliente_2187;Notebook Dell;Eletrônicos;3458,65;9;743,66;5,8;Cancelada;Rio de Janeiro;Maria
204;inválida;Cliente_9768;iPhone 15;Eletrônicos;8226,49;15;13205,3;2,8;Cancelada;Curitiba;Ana
205;24-02-2024;Cliente_1109;iPhone 15;Eletrônicos;7671,17;11;5132,16;14,2;Cancelada;Belo Horizonte;Ana
206;10/10/2024;Cliente_3870;Mouse Logitech;Acessórios;678,19;14;8573,75;22,0;Concluída;Porto Alegre;Pedro
207;2024-05-19;Cliente_6234;Mouse Logitech;Eletrônicos;2946,01;11;4784,55;7,7;;Porto Alegre;Maria
208;05/11/2024;Cliente_6647;iPhone 15;Eletrônicos;7619,7;11;3274,58;1,3;;Porto Alegre;Ana
209;24/06/2024;Cliente_9023;Teclado Mecânico;Acessórios;;7;4277,46;3,0;Cancelada;Rio de Janeiro;Ana
210;17-12-2024;Cliente_8674;Mouse Logitech;Periféricos;3832,1;dez;2282,05;23,7;Cancelada;Curitiba;Ana
211;inválida;Cliente_4725;Teclado Mecânico;Eletrônicos;5141,64;10;2972,26;21,7;Pendente;Belo Horizonte;Ana
212;2024-09-07;Cliente_8460;Notebook Dell;Periféricos;1219,7;2;10658,38;20,9;;Curitiba;Carlos
213;27/01/2024;Cliente_4204;iPhone 15;Eletrônicos;1931,4;1;9034,08;17,1;Concluída;Belo Horizonte;Maria
214;2024-11-20;Cliente_6881;Monitor LG;Acessórios;6988,27;13;13653,63;0,5;;Curitiba;Maria
215;21/05/2024;Cliente_9009;Teclado Mecânico;Periféricos;1141,21;11;1286,38;17,0;Concluída;Belo Horizonte;Ana
216;2024-01-02;Cliente_6174;Mouse Logitech;Eletrônicos;4425,02;1;13009,2;22,4;Cancelada;Belo Horizonte;Carlos
217;07-03-2024;Cliente_6673;Monitor LG;Acessórios;841,98;9;776,66;7,1;;Belo Horizonte;Carlos
218;inválida;Cliente_2105;iPhone 15;Eletrônicos;3465,45;13;6797,81;18,5;;Rio de Janeiro;Carlos
219;14-08-2024;Cliente_3392;Monitor LG;Eletrônicos;4228,11;8;2691,39;2,1;Pendente;São Paulo;João
220;2024-12-27;Cliente_5175;Teclado Mecânico;Periféricos;2910,7;3;1097,03;1,7;;São Paulo;Maria
