ID_Venda;Data;Cliente;Produto;Categoria;Regiao;Canal_Venda;Vendedor;Cidade;Valor_Unitario;Quantidade;Desconto_Pct;Total_Venda;Status;Nota_Cliente;Prazo_Entrega;Margem_Pct
136;inválida;CLI-32924;iPhone 15;Periféricos;Sul;Loja Física;Ana;Porto Alegre;5520,95;14;16,9;64230,73;Concluída;2,7;28;25,7
137;13/02/2024;CLI-54299;Monitor LG;Periféricos;Centro-Oeste;Online;João;Belo Horizonte;4443,77;12;2,5;197570,02;Cancelada;3,6;11;9,6
138;2024-10-08;CLI-20458;Notebook Dell;Eletrônicos;Nordeste;Revendedor;Ana;São Paulo;8980,56;9;26,3;59568,05;Cancelada;1,1;12;20,4
139;21/05/2024;CLI-87452;Monitor LG;Periféricos;Nordeste;Revendedor;Ana;Porto Alegre;2582,82;12;20,1;24764,08;Concluída;3,6;14;29,8
140;21/07/2024;CLI-56794;iPhone 15;Eletrônicos;Sudeste;Online;Maria;São Paulo;1190,46;14;8,9;259631,5;Concluída;3,5;22;38,2
141;27-06-2024;CLI-86852;iPhone 15;Periféricos;Sudeste;Loja Física;Maria;Rio de Janeiro;7629,0;3;9,6;93104,32;Pendente;4,0;15;24,5
142;2024-04-12;CLI-35405;Teclado Mecânico;Periféricos;Centro-Oeste;Online;Pedro;Belo Horizonte;3303,04;15;23,7;143652,5;Cancelada;2,5;8;32,7
143;11/12/2024;CLI-80979;Monitor LG;Periféricos;Centro-Oeste;Loja Física;Ana;São Paulo;4483,71;3;11,2;11944,6;Pendente;2,6;11;36,0
144;2024-08-17;CLI-32387;Teclado Mecânico;Periféricos;Nordeste;Revendedor;Maria;Curitiba;;9;14,6;161122,5;Pendente;1,8;13;37,5
145;inválida;CLI-91744;Notebook Dell;Acessórios;Sudeste;Revendedor;Ana;Curitiba;93,52;10;15,2;793,05;Concluída;1,2;2;25,6
146;2024-08-09;CLI-36176;Teclado Mecânico;Periféricos;Sudeste;Revendedor;João;Porto Alegre;6617,56;five;17,6;65434,43;Pendente;3,7;16;34,5
147;19/09/2024;CLI-39322;Teclado Mecânico;Eletrônicos;Norte;Televendas;João;Porto Alegre;1026,94;7;29,8;5046,38;Concluída;2,3;9;44,9
148;23-12-2024;CLI-93460;Monitor LG;Acessórios;Sul;Revendedor;João;São Paulo;4234,72;15;22,6;49165,1;Pendente;1,0;6;24,7
149;21/11/2024;CLI-92986;Notebook Dell;Periféricos;Sudeste;Online;Ana;Belo Horizonte;7570,15;12.0;23,7;197540,04;Cancelada;1,5;7;24,6
150;08/08/2024;CLI-96892;Mouse Logitech;Periféricos;Sul;Online;João;Belo Horizonte;1386,91;10;24,4;39843,15;Pendente;3,0;13;30,1
151;18-01-2024;CLI-78609;Monitor LG;Periféricos;Centro-Oeste;Loja Física;Maria;São Paulo;141,78;15;0,5;22853,56;Cancelada;1,9;15;37,6
152;15-11-2024;CLI-13325;Monitor LG;Acessórios;Nordeste;Online;João;Curitiba;7812,67;8;25,8;176228,84;Cancelada;1,7;11;6,9
153;2024-10-15;CLI-73662;Teclado Mecânico;Eletrônicos;Sul;Revendedor;Maria;São Paulo;4781,68;dez;20,3;51448,5;Pendente;1,4;21;33,4
154;inválida;CLI-40587;Mouse Logitech;Periféricos;Nordeste;Online;Carlos;Porto Alegre;4741,93;10;14,8;153524,71;Cancelada;4,7;15;35,3
155;01-08-2024;CLI-18737;iPhone 15;Acessórios;Nordeste;Online;Pedro;Belo Horizonte;1183,31;15;9,1;61310,83;Pendente;1,0;15;21,7
156;02/08/2024;CLI-60823;Monitor LG;Eletrônicos;Centro-Oeste;Televendas;Pedro;Belo Horizonte;4689,55;9;18,5;34397,85;Concluída;4,5;3;8,3
157;21-10-2024;CLI-88405;Teclado Mecânico;Periféricos;Centro-Oeste;Online;Maria;Porto Alegre;;3;24,9;141367,6;Pendente;1,2;8;39,2
158;05/09/2024;CLI-77175;Monitor LG;Eletrônicos;Sul;Revendedor;Pedro;Rio de Janeiro;1998,19;3;0,3;5976,59;Cancelada;3,6;21;33,7
159;2024-09-21;CLI-71269;Teclado Mecânico;Acessórios;Nordeste;Loja Física;Ana;Belo Horizonte;3153,89;7;8,9;20112,36;Pendente;2,4;21;29,4
160;15-Jun-2024;CLI-77564;Mouse Logitech;Eletrônicos;Centro-Oeste;Revendedor;Ana;Curitiba;425,84;11;11,1;4164,29;;3,2;30;27,1
161;23-02-2024;CLI-31953;iPhone 15;Periféricos;Centro-Oeste;Loja Física;Pedro;Belo Horizonte;5214,56;14;14,6;62345,28;Pendente;3,9;6;25,3
162;03-05-2024;CLI-49435;Monitor LG;Eletrônicos;Norte;Televendas;João;Curitiba;6988,62;7;4,4;46767,85;Cancelada;2,7;5;43,3
163;inválida;CLI-63519;Teclado Mecânico;Periféricos;Centro-Oeste;Loja Física;João;São Paulo;8391,1;10;3,7;80806,29;Pendente;4,8;19;33,6
